,Brain,brain annotated,y.n.brain,Liver,Kidney,Serum,Brain_Liver,Brain_Kidney,Brain_Serum,Liver_Kidney,Liver_Serum,Kidney_Serum,Brain_Liver_Kidney,Brain_Liver_Serum,Brain_Kidney_Serum,Liver_Kidney_Serum,All
205,NA,,,NA,Spcs2,Ighv1-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
206,NA,,,NA,Cadm4,Tgfbi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,NA,,,NA,Erbb3,Hbb-bs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
208,NA,,,NA,Ccdc134,Serpine2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
209,NA,,,NA,Gpt2,Hbb-b2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,NA,,,NA,Pcnt,Apoc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,NA,,,NA,Prkar1a,Lrg1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
212,NA,,,NA,Cers2,Crp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
213,NA,,,NA,Camsap3,Hamp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
214,NA,,,NA,Pcsk6,Amy1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
215,NA,,,NA,Npm1,Mstn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
216,NA,,,NA,Fbxo45,Angptl3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
217,NA,,,NA,Dmtn,Pygm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
218,NA,,,NA,Nox4,Prdx2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
219,NA,,,NA,Yipf3,H2-Q10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
220,NA,,,NA,Eif5,C1qa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
221,NA,,,NA,Lamb2,C1ra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
222,NA,,,NA,Hexa,Cpb2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
223,NA,,,NA,Ergic1,Pros1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
224,NA,,,NA,Cdhr5,Ahsg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
225,NA,,,NA,Thrap3,Tubb1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
226,NA,,,NA,Stard5,Mmp3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,NA,,,NA,Ace2,Pfkp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
228,NA,,,NA,Arhgap35,Orm2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
229,NA,,,NA,Soat1,Col6a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
230,NA,,,NA,Tmem259,A2M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
231,NA,,,NA,Lnpep,Rbp4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
232,NA,,,NA,Stx7,P10404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,NA,,,NA,Spryd3,Mthfd1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
234,NA,,,NA,Ush1c,Orm1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
235,NA,,,NA,Ror2,Muc16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
236,NA,,,NA,Slc1a1,Ighv7-3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
237,NA,,,NA,B3gat3,Ighg1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
238,NA,,,NA,Tmem59,Ext1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
239,NA,,,NA,Pcyt2,Ighv5-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,NA,,,NA,Trip11,Igkv1-133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,NA,,,NA,Creg1,Hpx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,NA,,,NA,Mtfr1l,Ighv1-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,NA,,,NA,Fkbp8,Iglc3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244,NA,,,NA,Tmtc4,Igkv9-124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
245,NA,,,NA,Fkbp11,Gp1ba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
246,NA,,,NA,Srrm2,Fgl1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,NA,,,NA,Pnpla7,Proz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,NA,,,NA,Prcp,N4bp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
249,NA,,,NA,Smpd2,Afg1l,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
250,NA,,,NA,Rnf185,Ttll11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,NA,,,NA,Pon2,Capn10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
252,NA,,,NA,Nectin1,Man1a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
253,NA,,,NA,Nphs1,Ptcd1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
254,NA,,,NA,St8sia6,Il1rap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,NA,,,NA,Aga,Apom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,NA,,,NA,Crtap,Hp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
257,NA,,,NA,Ktn1,Lbp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,NA,,,NA,Clint1,Pltp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
259,NA,,,NA,Tor3a,Wdr47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
260,NA,,,NA,Dnajb9,Krt71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
261,NA,,,NA,H2-Ab1,Ighv9-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
262,NA,,,NA,Atp1b3,C2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
263,NA,,,NA,Ubiad1,Dnah14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
264,NA,,,NA,Ddx20,Pglyrp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
265,NA,,,NA,Sytl4,Ighv1-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
266,NA,,,NA,Ppic,Col6a3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
267,NA,,,NA,Enpp6,Tenm4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
268,NA,,,NA,Spag9,Ifi27l2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,NA,,,NA,Mapt,P01878,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
270,NA,,,NA,Cr1l,Srgn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
271,NA,,,NA,Fastkd5,Lum,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
272,NA,,,NA,Set,Postn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
273,NA,,,NA,Rnf149,Prg4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
274,NA,,,NA,Htra1,Ighv1-81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
275,NA,,,NA,Dag1,Tgfb1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
276,NA,,,NA,B3gat2,CSN3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,NA,,,NA,Mgat5,Colec10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
278,NA,,,NA,Tmem106b,Lonp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
279,NA,,,NA,Man1b1,LOC525947,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
280,NA,,,NA,Sulf2,Gapdh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
281,NA,,,NA,Ca12,Ca2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
282,NA,,,NA,Map7,Nol6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
283,NA,,,NA,Slc13a3,Igkv6-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
284,NA,,,NA,Tm7sf3,P18528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,NA,,,NA,Dgcr2,Kif13a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
286,NA,,,NA,Fbln7,Pcdha1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
287,NA,,,NA,Saraf,Ighv13-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
288,NA,,,NA,Col4a3,P01798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
289,NA,,,NA,Wfdc15b,Loxl1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
290,NA,,,NA,P3h4,Col6a2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
291,NA,,,NA,B4galt3,Gpld1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
292,NA,,,NA,Pomgnt2,Angpt1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
293,NA,,,NA,Safb2,Fbln1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
294,NA,,,NA,Prom2,B3gntl1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
295,NA,,,NA,Slc5a6,Ighv5-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
296,NA,,,NA,Emb,F13a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
297,NA,,,NA,Wfdc2,Isg15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,NA,,,NA,Hdgf,Ighv2-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
299,NA,,,NA,Gnaz,Mtcl1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
300,NA,,,NA,Mmgt1,C4bpa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,NA,,,NA,Abcd1,Gm10881,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,NA,,,NA,Dhx40,Ighv1-78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303,NA,,,NA,Npc2,Spata7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
304,NA,,,NA,Dhrs3,Vtn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
305,NA,,,NA,Dgat1,Rac2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
306,NA,,,NA,Fhod1,Chgb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
307,NA,,,NA,Scamp3,Ces1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
308,NA,,,NA,Gpkow,Evi5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
309,NA,,,NA,Extl3,Pdgfra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
310,NA,,,NA,Pakap,Ebf4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
311,NA,,,NA,Tapt1,Pmel,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
312,NA,,,NA,Cux1,Igkv14-126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
313,NA,,,NA,Igsf3,P01723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
314,NA,,,NA,Slc8a1,P03988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
315,NA,,,NA,Wwox,Pfkl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
316,NA,,,NA,Coa7,Icoslg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
317,NA,,,NA,Sema5a,Tuba4a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
318,NA,,,NA,Mtdh,Apc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
319,NA,,,NA,Dpf2,Igfals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
320,NA,,,NA,Rps28,Tubb2b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
321,NA,,,NA,Ano6,Mmp19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
322,NA,,,NA,Ppip5k2,Serpina1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
323,NA,,,NA,Smpdl3a,Ighv1-62-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
324,NA,,,NA,Lamp2,A11112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
325,NA,,,NA,Scnn1a,Serpina3m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
326,NA,,,NA,Serpinb8,Ighv1-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
327,NA,,,NA,Ptgs1,Fn1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,NA,,,NA,Lemd2,Ighv2-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
329,NA,,,NA,Lmf2,Sox6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
330,NA,,,NA,Sdf4,P01655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
331,NA,,,NA,Snx33,Mmrn1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
332,NA,,,NA,St3gal6,Vwf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
333,NA,,,NA,Glb1l2,P01746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
334,NA,,,NA,Ntn4,Notch3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
335,NA,,,NA,Cd2ap,Mamdc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
336,NA,,,NA,Dapk1,Ugt2b37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,,,NA,Txndc11,Pf4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
338,NA,,,NA,Adamtsl4,Notch1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
339,NA,,,NA,Ift172,Chd5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
340,NA,,,NA,Tmem161b,4932415D10Rik,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
341,NA,,,NA,Hyal2,CSN1S2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
342,NA,,,NA,Mmrn2,Tubb4b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,NA,,,NA,Yipf5,Pcsk9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
344,NA,,,NA,Selenok,Actg1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
345,NA,,,NA,G3bp1,Abi3bp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
346,NA,,,NA,Ncoa7,Adgrl4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
347,NA,,,NA,Tmem106a,Ltbp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
348,NA,,,NA,Fcho2,P2ry14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
349,NA,,,NA,Fam151a,A2ML1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
350,NA,,,NA,Fxyd2,P01670,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
351,NA,,,NA,Gnptab,Aldh9a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,NA,,,NA,Fuca1,CSN1S1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
353,NA,,,NA,Galns,P01665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
354,NA,,,NA,C2cd2l,Ran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
355,NA,,,NA,Dnah8,Gp5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
356,NA,,,NA,Tpst2,Acta1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
357,NA,,,NA,Bcas3,Clec11a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
358,NA,,,NA,Sgta,Cat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
359,NA,,,NA,Cep68,Ldhc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
360,NA,,,NA,Furin,Igkv4-61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
361,NA,,,NA,Csrp1,Anxa1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
362,NA,,,NA,Shroom4,Hspa8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
363,NA,,,NA,Gm2075,Kntc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
364,NA,,,NA,Lrrc19,Kcnb1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
365,NA,,,NA,Ppih,Vmn2r4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
366,NA,,,NA,Atrx,Huwe1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
367,NA,,,NA,Rab32,Pcbp1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
368,NA,,,NA,Slc7a5,Synpo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
369,NA,,,NA,Shroom2,Actb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
370,NA,,,NA,Zyx,Gpd1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
371,NA,,,NA,Nos3,Serpina1c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
372,NA,,,NA,Eif4h,Tsku,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
373,NA,,,NA,Adra2b,Angptl6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
374,NA,,,NA,Gtf3c4,Pkm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
375,NA,,,NA,Isca2,Cerkl,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
376,NA,,,NA,Ei24,Mns1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
377,NA,,,NA,Sema3c,Hnrnpa2b1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
378,NA,,,NA,Yipf6,Utp6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
379,NA,,,NA,Klk1,Efemp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
380,NA,,,NA,Tmem65,Hsp90ab1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
381,NA,,,NA,Syne1,KRT15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
382,NA,,,NA,BC035947,C1qtnf3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
383,NA,,,NA,Slc16a12,Atp13a5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
384,NA,,,NA,Sdc4,Krt2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
385,NA,,,NA,Ppl,Adamts13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
386,NA,,,NA,Hmgb1,Mapkap1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
387,NA,,,NA,Adgra3,F1MI18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
388,NA,,,NA,Pcyox1l,Pla1a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
389,NA,,,NA,Fads1,Inhbc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
390,NA,,,NA,Dnase1,Pfkm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,NA,,,NA,Plod2,CSN2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
392,NA,,,NA,Dnah5,Atl3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
393,NA,,,NA,Ceacam2,Krt14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
394,NA,,,NA,Ndst1,G6pdx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
395,NA,,,NA,Cckar,Ighv14-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
396,NA,,,NA,Ccdc28a,Vps13c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
397,NA,,,NA,Ptges,Tubb5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
398,NA,,,NA,Cst3,Acacb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
399,NA,,,NA,Nrp1,Tuba1b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
400,NA,,,NA,Fzd4,Acaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401,NA,,,NA,Adgrg1,Eef1a1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
402,NA,,,NA,Lin7c,Selenbp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
403,NA,,,NA,Slc35a4,Pcx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,NA,,,NA,Dnajc12,B99907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
405,NA,,,NA,Tnfrsf21,Krt10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
406,NA,,,NA,Pdpk1,Krt80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
407,NA,,,NA,Spag1,Pcca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
408,NA,,,NA,Rnf135,Sbno2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
409,NA,,,NA,Trpm6,Bgn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
410,NA,,,NA,B3galt6,P22629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
411,NA,,,NA,Scube3,Rps27a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
412,NA,,,NA,Phf6,Vwce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
413,NA,,,NA,Prlr,LYZ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
414,NA,,,NA,Adgb,Gm2663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
415,NA,,,NA,Defb29,Ywhab,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
416,NA,,,NA,Sos2,Q53532,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
417,NA,,,NA,Galnt10,P00761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
418,NA,,,NA,Adam15,Spp2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
419,NA,,,NA,Gnl3,Dcn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
420,NA,,,NA,Camlg,P00760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
421,NA,,,NA,Abcc6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
422,NA,,,NA,Ints11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,NA,,,NA,Parp14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
424,NA,,,NA,Fam3a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
425,NA,,,NA,Lgr6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
426,NA,,,NA,Man2a2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
427,NA,,,NA,Fblim1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
428,NA,,,NA,Pom121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
429,NA,,,NA,Sema4b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
430,NA,,,NA,Isyna1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
431,NA,,,NA,Pigo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
432,NA,,,NA,Sgsm2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
433,NA,,,NA,Cutc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
434,NA,,,NA,Dnajc1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
435,NA,,,NA,Slc4a2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
436,NA,,,NA,Twnk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
437,NA,,,NA,Setx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
438,NA,,,NA,Palld,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
439,NA,,,NA,Dicer1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,NA,,,NA,Herc2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
441,NA,,,NA,Paxip1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
442,NA,,,NA,Entpd4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
443,NA,,,NA,Rin3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,NA,,,NA,Tdrp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
445,NA,,,NA,Cav1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
446,NA,,,NA,Srgap1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
447,NA,,,NA,Scd3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
448,NA,,,NA,Clcn7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
449,NA,,,NA,Sowahb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
450,NA,,,NA,Otud6b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
451,NA,,,NA,Wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
452,NA,,,NA,Sipa1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
453,NA,,,NA,Psmg1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
454,NA,,,NA,Lrrfip2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,NA,,,NA,Dync2li1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
456,NA,,,NA,Slc7a6os,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
