,Brain,brain annotated,y.n.brain,Liver,Kidney,Serum,Brain_Liver,Brain_Kidney,Brain_Serum,Liver_Kidney,Liver_Serum,Kidney_Serum,Brain_Liver_Kidney,Brain_Liver_Serum,Brain_Kidney_Serum,Liver_Kidney_Serum,All
14,Grid2,T,y,Idh1,Ugt1a2,Gbf1,NA,App,NA,Man2a1,F2,B3GNT2,Rcn2,NA,NA,Cdh2,Igf2r
15,Anks1b,T,y,Uox,Ugt2b38,Togaram1,NA,Sun2,NA,Tmod3,Mbl2,Kng2,Suco,NA,NA,Cfi,Apoa1
16,Grm1,T,y,Ugp2,Egf,Igkv2-137,NA,Aplp2,NA,Ugt3a2,Pigr,Gpx3,Lrpap1,NA,NA,Itih1,Chid1
17,Grm5,T,y,Sult2a1,Katnal2,P01725,NA,Ncl,NA,Hsd11b1,F5,Cdh1,Dnajc10,NA,NA,Smoc1,Nenf
18,Ptprz1,T,y,Aacs,Mep1a,Casp8,NA,Srsf4,NA,Fam213a,Ecm1,Lpl,Nucb2,NA,NA,Col18a1,Erp44
19,Rpl4,F,n,Ppp2r1b,Galnt11,P01657,NA,Abca2,NA,Tnks1bp1,Itih4,Napsa,Prdx4,NA,NA,Emilin1,Hspa13
20,Cntn1,T,y,Anxa6,Crocc,Serpinb1a,NA,Fga,NA,Myl9,C8b,Sod3,Ppib,NA,NA,Mbl1,Lman1
21,Tnr,T,y,Stab2,Sorl1,Igkv4-59,NA,Cds2,NA,Lsr,Lcat,Grn,Manf,NA,NA,Man2b2,Ctsd
22,Rrbp1,F,n,Pla2g12b,St14,Adipoq,NA,Ccpg1,NA,Emc2,Apoh,Plod1,Pigk,NA,NA,C1rl,Plxnb2
23,Trpm3,T,y,Asgr1,Gcnt1,Igkv4-80,NA,Itgb8,NA,Dlg1,Klkb1,Txn,Itgb1,NA,NA,Plod3,Mttp
24,Rbmxl1,F,n,Fdft1,Mycbp2,P06330,NA,Capn2,NA,Col14a1,Masp2,Timp3,Pgrmc2,NA,NA,Manba,Apoe
25,Astn1,T,y,Stat5a,Itgb6,C1sa,NA,Tmpo,NA,Ctsh,Apoa5,Ptprg,Itgav,NA,NA,Mogs,Txndc5
26,Spock2,F,n,Ldlr,Ugt3a1,Colec11,NA,Pam,NA,D2hgdh,F7,Tcn2,Mesd,NA,NA,Igfbp4,Cnpy3
27,Bcan,T,y,Fabp1,Cyp4a14,Tpr,NA,Ace,NA,Tinagl1,Nrn1,Egfr,Dnajb11,NA,NA,Btd,Sil1
28,Phb2,F,n,Cth,Alpl,Dnah10,NA,Sema3b,NA,Grhpr,Agt,Gsn,Rcn1,NA,NA,B2m,Serpina3k
29,Acin1,F,n,Cfb,Rpn2,Samd9l,NA,Stt3b,NA,Vil1,Igfbp2,Nid1,Tmtc3,NA,NA,Retn,Pofut2
30,Slc1a2,T,y,Cap1,Pdia5,P01675,NA,Lama5,NA,Rnaset2a,Lifr,Habp2,Clptm1,NA,NA,Man2b1,Entpd5
31,Lmnb1,F,n,Golim4,Prom1,Cntn5,NA,Mlec,NA,Htatip2,C9,Ghr,Ccdc47,NA,NA,F13b,Efemp1
32,Pip5k1b,T,y,Dsc2,Galnt1,Igkv1-135,NA,Igsf8,NA,Coro7,A1bg,Tnxb,Erlec1,NA,NA,Galc,Apoa4
33,Srsf1,F,n,Ubap2l,Casr,Serpina6,NA,Gramd1b,NA,Gns,F11,Heph,M6pr,NA,NA,Bmp1,Notch2
34,Grm3,T,y,Upp2,Cyp51a1,Igkv6-15,NA,Pigt,NA,Tmed7,AI182371,Lamc1,Erp29,NA,NA,C8a,Pcyox1
35,Srp72,F,n,Emc10,Slc3a1,Igkv16-104,NA,Bcap29,NA,Naga,Masp1,Ext2,Pofut1,NA,NA,NA,Ctsa
36,Ddx46,F,n,C1s1,Fut8,P01631,NA,Fbn1,NA,Nsfl1c,Clec4f,Cpd,Clcc1,NA,NA,NA,Creld2
37,Lgi2,T,y,Inmt,Lrp6,Pdzd4,NA,Slit2,NA,Lipa,NA,Vasn,Os9,NA,NA,NA,Ctsz
38,Hnrnpc,F,n,Fam45a,Plau,Tfpi,NA,Igf1r,NA,Bsg,NA,Cgref1,Cnpy4,NA,NA,NA,Glce
39,Scg2,T,y,Yap1,Ngly1,Col6a5,NA,Prpf4b,NA,Emc7,NA,Pcsk5,Ttc17,NA,NA,NA,H6pd
40,Lgi4,T,y,Cox4i1,Cdh16,Csmd3,NA,Gaa,NA,Sdf2l1,NA,Fam20c,Nup210,NA,NA,NA,NA
41,Hist1h1e,F,n,Mtss1,Cgnl1,P01843,NA,Ltbp3,NA,Cstb,NA,Naglu,Zmpste24,NA,NA,NA,NA
42,Hist1h1d,F,n,Cpne3,Nceh1,Mertk,NA,Magt1,NA,Adpgk,NA,Extl2,P4ha1,NA,NA,NA,NA
43,Hist1h1c,F,n,Fas,Rdh16,Snw1,NA,Lemd3,NA,Ppt1,NA,Plxdc2,Sel1l,NA,NA,NA,NA
44,Hist1h1b,F,n,Msr1,Actn4,P01724,NA,Tor1b,NA,Tmed5,NA,F9,Emc8,NA,NA,NA,NA
45,Plxna4,T,y,Cox6b1,Actn1,Igkv8-16,NA,Gpc1,NA,Hgsnat,NA,Atrn,Por,NA,NA,NA,NA
46,Sfpq,F,n,Sult2a7,Glb1,Serpinf1,NA,Aebp1,NA,Sumf2,NA,Gcnt2,Lman2,NA,NA,NA,NA
47,Rpl6,F,n,Zscan20,Glb1l,Ighv6-7,NA,Gpaa1,NA,C1galt1,NA,B4galt1,Tmed10,NA,NA,NA,NA
